,subject,predicate,object
62222,SNS-032,inhibits,CDK7
62230,ACAA,inhibits,TRPC6
62232,QUIZARTINIB,inhibits,PDGFRB
62233,ARP100,inhibits,MMP2
62238,PF-4691502,inhibits,PIK3R2
62249,RIGOSERTIB SODIUM,inhibits,F2R
62257,PIK-93,inhibits,PI4KB
62258,ALEFACEPT,inhibits,CD2
62263,PFI-3,inhibits,SMARCA4
62266,CEDIRANIB,inhibits,CSF1R
62274,NKTR-171,inhibits,SCN11A
62278,LOXAPINE SUCCINATE,inhibits,DRD4
62293,ASP3026,inhibits,ALK
62298,ND-2110,inhibits,IRAK4
62299,COLCHICINE,inhibits,TUBA3E
62300,MK-0249,inhibits,HRH4
62308,PACLITAXEL,inhibits,TUBB
62316,LINIFANIB,inhibits,FLT3
62325,RUXOLITINIB,inhibits,JAK2
62330,PAZOPANIB,inhibits,PDGFRB
62331,OXTRIPHYLLINE,inhibits,PDE4C
62332,VANDETANIB,inhibits,FLT1
62340,SKF-105494,inhibits,AVPR2
62342,PKCΘ INHIBITOR 14,inhibits,PRKCQ
62343,GSK COMPOUND 34,inhibits,CCR2
62345,BMS-681,inhibits,CCR2
62347,ECF506,inhibits,LCK
62348,ASP3026,inhibits,ALK
62349,PANOBINOSTAT LACTATE,inhibits,HDAC11
62353,MI-1148,inhibits,FURIN
62369,CUDC-101,inhibits,HDAC1
62372,DOXEPIN,inhibits,HRH1
62374,ZIBOTENTAN,inhibits,EDNRA
62391,ORPHENADRINE (CHLORIDE),inhibits,NAT1
62394,ZIPRASIDONE,inhibits,HTR2C
62395,AMELUBANT,inhibits,LTB4R
62396,ESLICARBAZEPINE,inhibits,SCN4A
62401,RHO KINASE INHIBITOR IV,inhibits,ROCK2
62409,DEBIO1347,inhibits,FGFR4
62418,ALPELISIB,inhibits,PIK3CA
62431,COMPOUND 15C [PMID: 21536437],inhibits,ADAMTS5
62435,POZIOTINIB,inhibits,EGFR
62442,WEDELOLACTONE,inhibits,CBR1
62449,LIGELIZUMAB,inhibits,IGHE
62460,Fruquintinib,inhibits,KDR
62462,FENFLURAMINE,inhibits,TPH2
62470,PREXASERTIB,inhibits,CHEK2
62472,GSK690693,inhibits,AKT1
62476,OMARIGLIPTIN,inhibits,DPP4
62479,MARAVIROC,inhibits,CCR5
62480,CUDC-101,inhibits,HDAC4
62484,RWJ-67657,inhibits,MAPK11
62489,"[ASU7,23']Β-ANP-(7-28)",inhibits,NPR1
62493,COMPOUND II [PMID: 21329883],inhibits,IKBKE
62494,ZM-241385,inhibits,ADORA2B
62499,DAPRODUSTAT,inhibits,P4HTM
62506,TOLVAPTAN,inhibits,AVPR2
62513,COMPOUND 41 [PMID: 17574411],inhibits,HMGCR
62519,TG100-115,inhibits,PIK3CG
62544,GDC-0941,inhibits,PIK3R3
62555,SUPROFEN,inhibits,PTGS1
62560,INK-1117,inhibits,PIK3CA
62567,VINCRISTINE SULFATE,inhibits,TUBA3E
62580,NIK-21273,inhibits,OPRL1
62581,IPATASERTIB,inhibits,AKT3
62584,LY-2780301,inhibits,RPS6KB1
62595,TRASTUZUMAB EMTANSINE,inhibits,TUBB1
62598,GSK1059615,inhibits,PIK3CA
62605,[35S]TBPS,inhibits,GABRA3
62618,HYDROXYUREA,inhibits,RRM2
62628,HEXOCYCLIUM,inhibits,CHRM5
62636,ENMD-2076,inhibits,KDR
62640,FLUDARABINE PHOSPHATE,inhibits,RRM2
62648,NV-128,inhibits,NDUFB2
62651,PLX3397,inhibits,FLT3
62653,"D(CH2)5[TYR(ME)2,ARG8]VP",inhibits,AVPR1A
62654,OPROZOMIB,inhibits,PSMB4
62656,EXENDIN-(9-39),inhibits,GLP1R
62675,CARFILZOMIB,inhibits,PSMB2
62679,Roniciclib,inhibits,CDK8
62681,MUSCARINIC TOXIN 7,inhibits,CHRM2
62685,NIVOCASAN,inhibits,CASP9
62688,PHENELZINE SULFATE,inhibits,MAOA
62689,AMILORIDE,inhibits,ASIC3
62692,GLIPIZIDE,inhibits,KCNJ11
62694,Indantadol,inhibits,GRIN3B
62695,ZONAMPANEL,inhibits,GRIA1
62700,OLANZAPINE,inhibits,DRD2
62701,ARN-3236,inhibits,SIK2
62721,MIANSERIN,inhibits,HTR2A
62727,"[SAR1,GLY4,GLY8]ANG-II",inhibits,AGTR1
62728,BENOXINATE HYDROCHLORIDE,inhibits,SCN4A
62740,X-396,inhibits,ALK
62753,DACLIZUMAB,inhibits,IL2RA
62762,THEOPHYLLINE,inhibits,PDE3B
62766,SU6656,inhibits,AURKC
62776,AM281,inhibits,GPR55
62782,LGX818,inhibits,ARAF
62790,LYS[Z(NO2)]-PRO,inhibits,SLC15A1
62793,BEZ235,inhibits,MTOR
62797,CARFILZOMIB,inhibits,PSMD14
62811,FLUSPIRILENE,inhibits,HTR1E
62814,RG-7666,inhibits,PIK3R1
62831,COMPOUND 16I [PMID: 31525963],inhibits,P2RX7
62836,PANITUMUMAB,inhibits,EGFR
62838,DRONEDARONE HYDROCHLORIDE,inhibits,SCN5A
62842,LY 294002,inhibits,BRD4
62855,METFORMIN HYDROCHLORIDE,inhibits,MT-ND4
62864,LEVOBUNOLOL,inhibits,ADRB2
62867,GALETERONE,inhibits,CYP17A1
62872,NVP-TAE684,inhibits,ALK
62878,MELOXICAM,inhibits,PTGS2
62880,CUDC-101,inhibits,HDAC3
62881,BRENTUXIMAB VEDOTIN,inhibits,TUBB2B
62884,AZD7762,inhibits,CHEK1
62889,COMPOUND 13D [PMID: 23639540],inhibits,TGFBR1
62901,BX-912,inhibits,PDPK1
62902,HEXAHYDROSILADIFENIDOL,inhibits,CHRM5
62905,TG-02,inhibits,CDK7
62912,KW-2449,inhibits,FLT3
62920,AMBRISENTAN,inhibits,EDNRA
62928,NV-128,inhibits,MT-ND2
62929,ERLOTINIB,inhibits,SLCO2B1
62941,MEPYRAMINE,inhibits,HRH1
62951,SORAFENIB,inhibits,KIT
62954,COMPOUND 14N [PMID: 25589934],inhibits,SGK2
62957,SILDENAFIL,inhibits,ABCC5
62962,COMPOUND 5B  [PMID: 31287314],inhibits,CA9
62965,MOTESANIB,inhibits,KDR
62966,HG2+,inhibits,AQP2
62977,MOBOCERTINIB,inhibits,EGFR
62981,SB-649868,inhibits,HCRTR1
62987,COMPOUND 9 [PMID: 15615544],inhibits,DHFR
62997,RGIA4,inhibits,CHRNA9
62998,GDC-0980,inhibits,PIK3C2G
63009,RACLOPRIDE,inhibits,DRD2
63011,STRYCHNINE,inhibits,CHRNA10
63016,VANDETANIB,inhibits,SRC
63022,BAY1000394,inhibits,CDK1
63025,ADP,inhibits,TRPM4
63029,SECUKINUMAB,inhibits,IL17A
63032,VINBLASTINE SULFATE,inhibits,TUBA1C
