,subject,predicate,object
0,CALM3,inhibits,TRPC1
1,CALM1,inhibits,TRPC1
2,CALM2,inhibits,TRPC1
5,MDFI,inhibits,TRPC1
7,MARCKS,inhibits,TRPC1
8,TRPC1,inhibits,GRM1
17,TRPC1,inhibits,TRPC6
22,TRPC1,inhibits,TRPV6
23,CALM3,inhibits,TRPC3
24,CALM1,inhibits,TRPC3
25,CALM2,inhibits,TRPC3
33,PRKG1,inhibits,TRPC3
34,RNF24,inhibits,TRPC3
36,TRPM4,inhibits,TRPC3
38,WNK4,inhibits,TRPC3
40,RNF24,inhibits,TRPC4
41,CABP1,inhibits,TRPC5
44,TRPC5,inhibits,TRPC6
51,PRKG1,inhibits,TRPC6
53,RNF24,inhibits,TRPC6
60,CNR1,inhibits,TRPV1
62,FAF1,inhibits,TRPV1
85,BSPRY,inhibits,TRPV5
87,CALM3,inhibits,TRPV5
88,CALM1,inhibits,TRPV5
89,CALM2,inhibits,TRPV5
93,TGM2,inhibits,TRPV5
98,CALM3,inhibits,TRPV6
99,CALM1,inhibits,TRPV6
100,CALM2,inhibits,TRPV6
104,NIPSNAP1,inhibits,TRPV6
105,NUMB,inhibits,TRPV6
106,PTPN1,inhibits,TRPV6
108,RGS2,inhibits,TRPV6
116,PTPN13,inhibits,TRPM2
120,RACK1,inhibits,TRPM6
121,PHB2,inhibits,TRPM6
124,RACK1,inhibits,TRPM7
126,OPRM1,inhibits,TRPM8
127,PRKACA,inhibits,MCOLN1
133,PRKCSH,inhibits,PKD2
135,STX5,inhibits,PKD2
136,RACK1,inhibits,PKD2L2
137,CASP3,inhibits,EIF3J
142,TIA1,inhibits,GADD45A
143,HNRNPD,inhibits,GADD45A
144,MAPKAPK2,inhibits,PARN
151,MAPK14,inhibits,TIAL1
154,TIAL1,inhibits,GADD45A
155,ZIC1,inhibits,ATOH1
157,HES5,inhibits,ATOH1
160,NOTCH1,inhibits,JAG2
167,SIX1,inhibits,DLX5
170,SIX1,inhibits,DACH2
179,PROX1,inhibits,GFI1
181,KEAP1,inhibits,GABPA
182,PROX1,inhibits,ATOH1
200,CDKN1A,inhibits,CDK1
201,TP53,inhibits,PRC1
203,ATF3,inhibits,TP53
205,TERF2,inhibits,ATM
207,MDM2,inhibits,RRM2B
214,CDCA4,inhibits,E2F1
215,KLF2,inhibits,CXCR4
220,ABL1,inhibits,PRKDC
225,CRY2,inhibits,ARNTL
227,CRY1,inhibits,ARNTL
235,PRKN,inhibits,SEPTIN5
242,RELA,inhibits,PTEN
244,E2F4,inhibits,RBL1
250,PRKN,inhibits,RANBP2
251,PRKN,inhibits,PUF60
255,PRKN,inhibits,JUN
256,PRKN,inhibits,HSPA1B
257,PRKN,inhibits,ATXN2
266,PTEN,inhibits,PREX2
267,PREX2,inhibits,PTEN
269,PTPRD,inhibits,STAT3
272,USP28,inhibits,FBXW7
274,HBP1,inhibits,MYC
275,RPL11,inhibits,TRRAP
289,MTOR,inhibits,ATG13
293,MTOR,inhibits,ULK2
302,AKT1,inhibits,AKT1S1
303,DAPK1,inhibits,CAMKK2
305,DAPK1,inhibits,MAPK6
311,AKT1S1,inhibits,RPTOR
312,MTOR,inhibits,AKT1S1
313,AKT1S1,inhibits,MTOR
325,BNIP3,inhibits,BCL2
327,BNIP3,inhibits,BCL2L1
328,SPNS1,inhibits,BCL2
329,SPNS1,inhibits,BCL2L1
334,CAPN1,inhibits,BCL2
335,CAPN2,inhibits,BCL2
336,CAPN1,inhibits,BCL2L1
339,CASP3,inhibits,EIF4EBP1
345,BCL2,inhibits,CASP3
346,CASP3,inhibits,BCL2
351,CAPN2,inhibits,BCL2L1
356,CASP10,inhibits,RIPK1
367,ADGRV1,inhibits,ADCY6
368,ID3,inhibits,ATOH1
369,ID2,inhibits,ATOH1
371,ID1,inhibits,ATOH1
373,NOTCH1,inhibits,FOXI2
374,WNT1,inhibits,FOXI2
378,SIX1,inhibits,EYA1
388,NOTCH1,inhibits,ATOH1
424,SFRP2,inhibits,WNT1
428,SFRP1,inhibits,WNT2
435,CASP3,inhibits,BIRC2
436,BIRC2,inhibits,CASP3
440,MCL1,inhibits,BBC3
441,BBC3,inhibits,MCL1
442,MCL1,inhibits,BBC3
443,BBC3,inhibits,MCL1
444,MCL1,inhibits,BAK1
445,CASP9,inhibits,BIRC6
446,BIRC6,inhibits,CASP9
447,PMAIP1,inhibits,GMCL1
448,BCL2L11,inhibits,MCL1
449,MCL1,inhibits,BCL2L11
451,MTOR,inhibits,ULK1
458,AKT1,inhibits,TSC2
459,PMAIP1,inhibits,MCL1
469,E2F6,inhibits,RBBP8
471,BCL2L2,inhibits,BIK
472,DYNLL1,inhibits,BCL2L11
473,CFLAR,inhibits,CASP10
482,CASP3,inhibits,PXN
484,CASP3,inhibits,PTK2
485,BCL2L11,inhibits,BCL2A1
488,BCL2L1,inhibits,VDAC1
494,CDKN2A,inhibits,BCL2L1
495,CDKN2A,inhibits,BCL2L1
501,PRKCI,inhibits,BAD
504,MIB1,inhibits,DAPK1
506,DAPK1,inhibits,STX1A
507,DAPK1,inhibits,RPS6
508,BBC3,inhibits,BCL2A1
509,BBC3,inhibits,BCL2A1
512,HRK,inhibits,BCL2L1
513,HRK,inhibits,BCL2
514,RHEB,inhibits,FKBP8
515,FKBP8,inhibits,MTOR
516,PMAIP1,inhibits,BCL2A1
533,DAPK1,inhibits,MAPK1
534,SRC,inhibits,DAPK1
539,DAPK1,inhibits,MAPK3
544,RPS6KA1,inhibits,DAPK1
545,RPS6KA3,inhibits,DAPK1
550,DAPK3,inhibits,PPP1R12A
551,CTNNB1,inhibits,DAPK2
554,PPP1R14A,inhibits,PPP1CA
555,DAPK1,inhibits,TLN1
557,DAPK1,inhibits,ITGA3
566,TP53,inhibits,ANLN
568,ABCB1,inhibits,TP53
579,PUF60,inhibits,MYC
580,PUF60,inhibits,FUBP1
583,CDKN1A,inhibits,E2F1
586,CDKN2A,inhibits,E2F3
588,CDKN2A,inhibits,E2F3
589,E2F4,inhibits,CLSPN
590,CDKN2A,inhibits,E2F2
593,CDKN2A,inhibits,E2F2
595,CDKN2A,inhibits,E2F1
598,CDKN2A,inhibits,E2F1
600,E2F6,inhibits,BRCA1
601,E2F6,inhibits,CBX5
604,TP53,inhibits,DNMT1
608,MAPKAPK2,inhibits,CDC25A
610,CHEK1,inhibits,CDC25B
612,MAPKAPK2,inhibits,CDC25C
614,MAPKAPK2,inhibits,CDC25B
636,MAPKAPK2,inhibits,TSC1
640,IKBKB,inhibits,TSC1
643,AKT1,inhibits,RICTOR
645,EIF4EBP2,inhibits,EIF4E
646,EIF4EBP1,inhibits,EIF4E
659,TNFAIP3,inhibits,IKBKB
660,TP53,inhibits,BIRC5
670,EPOR,inhibits,EPO
671,TP53,inhibits,CDC25C
678,KSR2,inhibits,MAP3K8
680,NFKB1,inhibits,MAP3K8
681,MAP3K8,inhibits,NFKB1
684,TP53,inhibits,CRYZ
691,CASP1,inhibits,GAPDH
700,TNFRSF10C,inhibits,TNFSF10
711,KRT18,inhibits,TRADD
717,BIRC2,inhibits,TRAF2
724,CASP1,inhibits,PYCARD
726,CARD18,inhibits,CASP1
729,CARD16,inhibits,CASP1
740,CASP1,inhibits,ENO1
744,MAVS,inhibits,IFIH1
747,CASP1,inhibits,TPI1
756,CASP1,inhibits,ALDOA
796,RUBCN,inhibits,BECN1
797,CARD8,inhibits,CASP9
798,CARD8,inhibits,APAF1
799,SERPINB9,inhibits,CASP1
800,CASP1,inhibits,CARD8
801,CARD8,inhibits,CASP1
805,TP53,inhibits,BCL2
806,BCL2,inhibits,TP53
808,CFLAR,inhibits,ATG3
810,RPS6KA3,inhibits,BAD
811,CASP3,inhibits,EIF2S2
813,DAPK1,inhibits,BCL2
815,CASP3,inhibits,EIF2S3
817,GAPDH,inhibits,RHEB
818,TP53,inhibits,UBD
825,TP53,inhibits,TRPM2
826,AKT1,inhibits,ITPR1
837,NOS1,inhibits,NFKBIA
838,GSK3B,inhibits,GYS1
842,CSNK1A1,inhibits,PRKN
843,E2F7,inhibits,SP1
844,LRP6,inhibits,GSK3B
847,MAPK8,inhibits,YWHAZ
848,BCL2,inhibits,BECN1
849,CHEK2,inhibits,CDC25A
856,CSNK1A1,inhibits,CDC25A
857,TP53,inhibits,PLK2
863,TP53,inhibits,NOS3
871,NLRC4,inhibits,TP53
886,TP53,inhibits,PTK2
904,COP1,inhibits,TP53
907,TP53,inhibits,SCD
908,TP73,inhibits,TP53
914,TP53,inhibits,SLC38A2
922,IKBKB,inhibits,IKBKG
925,RPS6KA5,inhibits,H2AZ1
945,KDM3B,inhibits,H3C8
950,KDM4C,inhibits,H3C8
951,KDM4B,inhibits,H3C8
952,KDM4A,inhibits,BCL2L11
958,TP53,inhibits,CSNK2B
961,APIP,inhibits,APAF1
963,TNFAIP3,inhibits,IKBKG
982,ATM,inhibits,PLK1
