,subject,predicate,object
3,CAV1,stimulates,TRPC1
4,DRD2,stimulates,TRPC1
6,ITPR2,stimulates,TRPC1
9,GRM1,stimulates,TRPC1
10,STIM1,stimulates,TRPC1
11,TRPC1,stimulates,TRPC3
12,TRPC3,stimulates,TRPC1
13,TRPC1,stimulates,TRPC4
14,TRPC4,stimulates,TRPC1
15,TRPC1,stimulates,TRPC5
16,TRPC5,stimulates,TRPC1
18,TRPC1,stimulates,PKD2
19,PKD2,stimulates,TRPC1
20,TRPC1,stimulates,TRPV4
21,TRPV4,stimulates,TRPC1
26,CASR,stimulates,TRPC3
27,EPOR,stimulates,TRPC3
28,HOMER1,stimulates,TRPC3
29,ITPR1,stimulates,TRPC3
30,ITPR3,stimulates,TRPC3
31,ASPH,stimulates,TRPC3
32,ORAI1,stimulates,TRPC3
35,SRC,stimulates,TRPC3
37,PKD2,stimulates,TRPC3
39,SLC9A3R1,stimulates,TRPC4
42,NCS1,stimulates,TRPC5
43,SESTD1,stimulates,TRPC5
45,CALM3,stimulates,TRPC6
46,CALM1,stimulates,TRPC6
47,CALM2,stimulates,TRPC6
48,FYN,stimulates,TRPC6
49,MX1,stimulates,TRPC6
50,NPHS1,stimulates,TRPC6
52,NPHS2,stimulates,TRPC6
54,SNF8,stimulates,TRPC6
55,PRKG1,stimulates,TRPC7
56,PKD2,stimulates,TRPC7
57,CALM3,stimulates,TRPV1
58,CALM1,stimulates,TRPV1
59,CALM2,stimulates,TRPV1
61,CDK5,stimulates,TRPV1
63,GABARAP,stimulates,TRPV1
64,KIF13B,stimulates,TRPV1
65,PIRT,stimulates,TRPV1
66,PRKACA,stimulates,TRPV1
67,SRC,stimulates,TRPV1
68,NTRK1,stimulates,TRPV1
69,EGFR,stimulates,TRPV3
70,CALM3,stimulates,TRPV4
71,CALM1,stimulates,TRPV4
72,CALM2,stimulates,TRPV4
73,FYN,stimulates,TRPV4
74,HCK,stimulates,TRPV4
75,ITPR3,stimulates,TRPV4
76,LCK,stimulates,TRPV4
77,LYN,stimulates,TRPV4
78,MAP7,stimulates,TRPV4
79,OS9,stimulates,TRPV4
80,PACSIN3,stimulates,TRPV4
81,SRC,stimulates,TRPV4
82,PKD2,stimulates,TRPV4
83,TRPV4,stimulates,PKD2
84,YES1,stimulates,TRPV4
86,CALB1,stimulates,TRPV5
90,KL,stimulates,TRPV5
91,RAB11A,stimulates,TRPV5
92,S100A10,stimulates,TRPV5
94,MCOLN3,stimulates,TRPV5
95,TRPV5,stimulates,MCOLN3
96,TRPV6,stimulates,TRPV5
97,TRPV5,stimulates,TRPV6
101,FYN,stimulates,TRPV6
102,KL,stimulates,TRPV6
103,PDZD3,stimulates,TRPV6
107,RAB11A,stimulates,TRPV6
109,S100A10,stimulates,TRPV6
110,SRC,stimulates,TRPV6
111,NYX,stimulates,TRPM1
112,CALM3,stimulates,TRPM2
113,CALM1,stimulates,TRPM2
114,CALM2,stimulates,TRPM2
115,EFHC1,stimulates,TRPM2
117,CALM3,stimulates,TRPM4
118,CALM1,stimulates,TRPM4
119,CALM2,stimulates,TRPM4
122,TRPM7,stimulates,TRPM6
123,TRPM6,stimulates,TRPM7
